Testing v8 version different from logging version
Statistical profiling result from isolate-0x7a8c21b99040-1-v8.log, (35871 ticks, 220 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  JS: *get extensionName /app/node_modules/ws/lib/permessage-deflate.js:76:27
      1    0.0%    0.0%  JS: *flow node:internal/streams/readable:1278:14
      1    0.0%    0.0%  JS: *endReadableNT node:internal/streams/readable:1690:23
      1    0.0%    0.0%  JS: *end node:_http_outgoing:1058:45
      1    0.0%    0.0%  JS: *doWrite node:internal/streams/writable:579:17
      1    0.0%    0.0%  JS: *connectionListener node:_http_server:644:28
      1    0.0%    0.0%  JS: *concat /app/node_modules/ws/lib/buffer-util.js:13:16
      1    0.0%    0.0%  JS: *checkListener node:events:275:23
      1    0.0%    0.0%  JS: *checkInvalidHeaderChar /app/node_modules/engine.io/build/server.js:776:32
      1    0.0%    0.0%  JS: *check /app/node_modules/engine.io/build/server.js:649:23
      1    0.0%    0.0%  JS: *alignPool node:buffer:164:19
      1    0.0%    0.0%  JS: *addChunk node:internal/streams/readable:548:18
      1    0.0%    0.0%  JS: *_send node:_http_outgoing:402:49
      1    0.0%    0.0%  JS: *Writable.cork node:internal/streams/writable:505:35
      1    0.0%    0.0%  JS: *Stream node:internal/streams/legacy:10:16
      1    0.0%    0.0%  JS: *Socket.read node:net:766:33
      1    0.0%    0.0%  JS: *Socket._writeGeneric node:net:921:42
      1    0.0%    0.0%  JS: *BroadcastOperator /app/node_modules/socket.io/dist/broadcast-operator.js:7:16
      1    0.0%    0.0%  JS: *<anonymous> node:internal/validators:453:42
      1    0.0%    0.0%  JS: *<anonymous> /app/node_modules/engine.io/build/server.js:659:30
      1    0.0%    0.0%  Builtin: Typeof
      1    0.0%    0.0%  Builtin: TypedArrayPrototypeByteOffset
      1    0.0%    0.0%  Builtin: TypedArrayConstructor
      1    0.0%    0.0%  Builtin: SubString
      1    0.0%    0.0%  Builtin: StringPrototypeSubstring
      1    0.0%    0.0%  Builtin: StringPrototypeStartsWith
      1    0.0%    0.0%  Builtin: StringPrototypeSlice
      1    0.0%    0.0%  Builtin: StringPrototypeCharCodeAt
      1    0.0%    0.0%  Builtin: StringPrototypeCharAt
      1    0.0%    0.0%  Builtin: StrictEqual
      1    0.0%    0.0%  Builtin: StoreInArrayLiteralIC
      1    0.0%    0.0%  Builtin: SetPrototypeAdd
