Testing v8 version different from logging version
Statistical profiling result from isolate-0x7867bc665040-1-v8.log, (37088 ticks, 96 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  JS: ^removeListener node:events:681:28
      1    0.0%    0.0%  JS: ^removeAllListeners node:events:745:32
      1    0.0%    0.0%  JS: ^randomFillSync node:internal/crypto/random:117:24
      1    0.0%    0.0%  JS: ^prefinish node:internal/streams/writable:896:19
      1    0.0%    0.0%  JS: ^parserOnIncoming node:_http_server:1030:26
      1    0.0%    0.0%  JS: ^parseQueryStringValues /app/node_modules/qs/lib/parse.js:51:50
      1    0.0%    0.0%  JS: ^parseExtendedQueryString /app/node_modules/express/lib/utils.js:289:34
      1    0.0%    0.0%  JS: ^parse node:url:169:37
      1    0.0%    0.0%  JS: ^onconnection node:net:2104:22
      1    0.0%    0.0%  JS: ^onParserExecuteCommon node:_http_server:909:31
      1    0.0%    0.0%  JS: ^onDestroy node:internal/streams/destroy:92:21
      1    0.0%    0.0%  JS: ^onData /app/node_modules/engine.io-client/build/cjs/transport.js:98:11
      1    0.0%    0.0%  JS: ^normalizeServerName node:_http_agent:345:29
      1    0.0%    0.0%  JS: ^normalizeArgs node:net:272:23
      1    0.0%    0.0%  JS: ^merge /app/node_modules/qs/lib/utils.js:47:27
      1    0.0%    0.0%  JS: ^match /app/node_modules/express/lib/router/layer.js:110:39
      1    0.0%    0.0%  JS: ^log node:internal/console/constructor:378:6
      1    0.0%    0.0%  JS: ^isTraceHTTPEnabled node:internal/http:40:28
      1    0.0%    0.0%  JS: ^isStringPath /app/node_modules/http-proxy-middleware/dist/context-matcher.js:76:22
      1    0.0%    0.0%  JS: ^isContentDispositionField node:_http_outgoing:105:35
      1    0.0%    0.0%  JS: ^insert node:internal/timers:361:16
      1    0.0%    0.0%  JS: ^info /app/node_modules/http-proxy-middleware/dist/logger.js:45:9
      1    0.0%    0.0%  JS: ^handleWriteReq node:internal/stream_base_commons:45:24
      1    0.0%    0.0%  JS: ^get node:net:689:16
      1    0.0%    0.0%  JS: ^formatRaw node:internal/util/inspect:843:19
      1    0.0%    0.0%  JS: ^formatPrimitive node:internal/util/inspect:1620:25
      1    0.0%    0.0%  JS: ^format node:url:631:39
      1    0.0%    0.0%  JS: ^end node:_http_outgoing:1058:45
      1    0.0%    0.0%  JS: ^encodePacket /app/node_modules/engine.io-parser/build/cjs/encodePacket.js:5:22
